"Name","Id","CPU","MemMB"
"bash","4449","0.2","12.6"
"containerd","510","0.73","49.3"
"docker-init","1","0.11","0.5"
"dockerd","337","0.76","77.3"
"node","3279","6.5","114.3"
"node","3303","27.04","368.2"
"node","3348","0.32","58"
"node","3736","2.09","72.4"
"node","4414","0.24","60.1"
"pwsh","7332","6.211195","166"
"sh","7","0.62","1.5"
"sh","2659","0","1.9"
"sh","2692","0","1.6"
"sh","3270","0","1.6"
"sh","4891","0","1.6"
"sh","4931","0","1.6"
"sleep","14490","0","1.8"
"sshd [listener] 0 of 10-100 startups","200","0","2.8"
